timestamp,day,month,year,time,partofday,is_RushHour,distance_to_airport,image_folder_path,image,lat,lon,greenness degree,cleanliness degree,crowdedness degree,noisy degree,skin feeling degree,stress degree,personal aqi degree,safety degree,hum,tem,uv,num_people,num_motorcycles,num_cars,rms_contrast
2020-02-28 07:53:00,28,2,2020,07:53:00,Morning,Rush hour,2.6238310895191885,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582851237.jpg,10.79441173161828,106.65040819775152,3.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,82.0,28.0,0.0,10,8,2,67.38964419050109
2020-02-28 07:58:00,28,2,2020,07:58:00,Morning,Rush hour,2.3072409411780925,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582851567.jpg,10.800867864858212,106.66308647864956,5.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,79.0,27.0,0.0,11,9,3,56.08192676536954
2020-02-28 08:02:00,28,2,2020,08:02:00,Morning,Rush hour,2.3072409411780925,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582852124.jpg,10.800867864858212,106.66308647864956,2.0,4.0,3.0,3.0,4.0,3.0,3.0,3.0,81.0,27.0,0.0,13,8,1,69.40389870301546
2020-02-28 08:13:00,28,2,2020,08:13:00,Morning,Rush hour,4.1986102909017635,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582852513.jpg,10.792992824177766,106.67996873978755,2.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0,82.0,27.0,0.0,7,7,0,82.51699037343678
2020-02-28 08:17:00,28,2,2020,08:17:00,Morning,Rush hour,4.1986102909017635,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582852742.jpg,10.792992824177766,106.67996873978755,5.0,5.0,3.0,3.0,4.0,4.0,4.0,4.0,80.0,28.0,0.0,5,2,0,64.66839588089518
2020-02-28 08:23:00,28,2,2020,08:23:00,Morning,Rush hour,4.1986102909017635,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582853035.jpg,10.792992824177766,106.67996873978755,4.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,80.0,29.0,0.0,4,1,0,51.146842793462376
2020-02-28 08:26:00,28,2,2020,08:26:00,Morning,Rush hour,4.1986102909017635,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582853243.jpg,10.792992824177766,106.67996873978755,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,77.0,29.0,0.0,8,8,1,64.68450974294808
2020-02-28 08:32:00,28,2,2020,08:32:00,Morning,Rush hour,5.147828680575264,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582853636.jpg,10.78024281481843,106.67844114010794,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,77.0,30.0,0.0,2,3,0,63.34433615714945
2020-02-28 08:42:00,28,2,2020,08:42:00,Morning,Rush hour,5.147828680575264,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582854208.jpg,10.78024281481843,106.67844114010794,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,71.0,28.0,0.0,4,2,0,60.140661833475534
2020-02-28 08:50:00,28,2,2020,08:50:00,Morning,Rush hour,2.9644894088849076,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582854750.jpg,10.7916977780714,106.6556175441572,2.0,3.0,4.0,4.0,3.0,2.0,2.0,1.0,70.0,29.0,0.0,3,3,5,46.39288780280632
2020-02-28 12:21:00,28,2,2020,12:21:00,Afternoon,Not rush hour,2.5927916196567753,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582867379.jpg,10.80036345473306,106.66669662260568,4.0,3.0,4.0,4.0,2.0,2.0,2.0,2.0,65.0,34.0,0.0,10,11,2,62.96227525592277
2020-02-28 12:26:00,28,2,2020,12:26:00,Afternoon,Not rush hour,2.5927916196567753,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582867614.jpg,10.80036345473306,106.66669662260568,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,61.0,37.0,0.0,7,6,1,53.52672889412542
2020-02-28 12:29:00,28,2,2020,12:29:00,Afternoon,Not rush hour,2.5927916196567753,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582867879.jpg,10.80036345473306,106.66669662260568,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0,68.0,37.0,0.0,0,0,1,54.93503105704612
2020-02-28 12:40:00,28,2,2020,12:40:00,Afternoon,Not rush hour,4.832087982081859,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582868441.jpg,10.786155005474631,106.681269972246,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,69.0,35.0,0.0,2,3,1,60.842567751131334
2020-02-28 12:42:00,28,2,2020,12:42:00,Afternoon,Not rush hour,4.832087982081859,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582868630.jpg,10.786155005474631,106.681269972246,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,66.0,36.0,0.0,6,6,1,66.77740713756745
2020-02-28 12:47:00,28,2,2020,12:47:00,Afternoon,Not rush hour,4.832087982081859,..\..\Data\Data HCM\_MNR_SENSOR_DATA_\emotion_tags\image_tag,22646-44678-1582868906.jpg,10.786155005474631,106.681269972246,1.0,1.0,3.0,3.0,1.0,2.0,2.0,1.0,59.0,37.0,0.0,0,2,0,60.047319232905174
