o3_8,o3,pm10,pm25,co,so2,so2_24,no2,aqi,aqi_rank
0,0.006999999999999999,3.0,5.0,1.3,10.0,0,7.0,16.233766233766232,0
0,0.006,3.0,5.0,1.3,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.008,3.0,5.0,1.3,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.3,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.3,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.3,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,2.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.3,10.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,2.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,2.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,2.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,2.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,4.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,6.0,1.2,10.0,0,7.0,19.48051948051948,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,5.0,1.2,10.0,0,7.0,16.233766233766232,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006,2.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,2.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006,3.0,4.0,1.2,11.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,10.0,0,7.0,13.636363636363635,0
0,0.006999999999999999,3.0,4.0,1.2,11.0,0,7.0,13.636363636363635,0
0,0.006,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.005,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.005,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006999999999999999,3.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
0,0.006,2.0,4.0,1.3,11.0,0,7.0,14.772727272727273,0
