timestamp,hum,tem,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
2018-03-10 08:40:24,52.34,15.17,0.0,0.0,1.0,0.0,1.0,2.4352485138909366
2018-03-10 08:40:49,59.55,15.76,0.0,0.0,1.0,0.0,1.0,2.4352485138909366
2018-03-10 12:35:26,28.52,26.67,1.0,0.0,0.0,1.0,0.0,2.435854696609512
2018-03-10 12:35:33,28.53,26.71,1.0,0.0,0.0,1.0,0.0,2.435854696609512
2018-03-10 12:36:54,30.12,25.83,1.0,0.0,0.0,1.0,0.0,2.4479731063093513
2018-03-10 12:37:06,29.2,25.88,1.0,0.0,0.0,1.0,0.0,2.4479731063093513
2018-03-10 12:37:39,28.93,26.13,1.0,0.0,0.0,1.0,0.0,2.4479731063093513
2018-03-10 12:38:11,29.83,26.33,1.0,0.0,0.0,1.0,0.0,2.4479731063093513
2018-03-10 12:38:43,27.46,26.42,1.0,0.0,0.0,1.0,0.0,2.4479731063093513
2018-03-10 12:39:14,28.2,26.66,1.0,0.0,0.0,1.0,0.0,2.4479731063093513
2018-03-10 12:39:40,29.87,26.76,1.0,0.0,0.0,1.0,0.0,2.4479731063093513
2018-03-10 12:40:05,28.16,26.88,1.0,0.0,0.0,1.0,0.0,2.4479731063093513
2018-03-10 12:40:50,28.95,27.04,1.0,0.0,0.0,1.0,0.0,2.43767283389454
2018-03-10 12:41:24,27.72,27.17,1.0,0.0,0.0,1.0,0.0,2.4381077149824675
2018-03-10 12:41:34,28.11,27.05,1.0,0.0,0.0,1.0,0.0,2.437765286121071
2018-03-10 12:42:06,27.83,27.26,1.0,0.0,0.0,1.0,0.0,2.437765286121071
2018-03-10 12:42:58,25.3,29.12,1.0,0.0,0.0,1.0,0.0,2.437922808368058
2018-03-10 12:43:11,25.56,29.2,1.0,0.0,0.0,1.0,0.0,2.437922808368058
2018-03-10 12:43:42,23.4,29.42,1.0,0.0,0.0,1.0,0.0,2.4398955204658472
2018-03-10 12:44:22,25.6,29.56,1.0,0.0,0.0,1.0,0.0,2.437922808368058
2018-03-10 12:44:39,22.76,29.58,1.0,0.0,0.0,1.0,0.0,2.4398955204658472
2018-03-10 12:45:05,23.11,29.6,1.0,0.0,0.0,1.0,0.0,2.4398955204658472
2018-03-10 12:45:44,25.67,28.55,1.0,0.0,0.0,1.0,0.0,2.437765286121071
2018-03-10 12:46:01,25.5,29.31,1.0,0.0,0.0,1.0,0.0,2.435854696609512
2018-03-10 12:46:42,31.32,28.48,1.0,0.0,0.0,1.0,0.0,2.437915975437635
2018-03-10 12:47:01,21.77,29.68,1.0,0.0,0.0,1.0,0.0,2.4398955204658472
2018-03-10 12:47:31,24.27,30.1,1.0,0.0,0.0,1.0,0.0,2.439796282498486
2018-03-10 12:48:27,24.77,28.73,1.0,0.0,0.0,1.0,0.0,2.4482082100182256
2018-03-10 12:48:36,22.23,29.87,1.0,0.0,0.0,1.0,0.0,2.4551329341770964
2018-03-10 12:49:01,23.1,29.27,1.0,0.0,0.0,1.0,0.0,2.437580381681337
2018-03-10 12:49:50,25.6,28.94,1.0,0.0,0.0,1.0,0.0,2.4762854814241204
2018-03-10 12:50:06,22.59,29.81,1.0,0.0,0.0,1.0,0.0,2.478140291092678
2018-03-10 12:50:48,19.46,30.66,1.0,0.0,0.0,1.0,0.0,2.4900445111865324
2018-03-10 12:51:02,26.07,25.72,1.0,0.0,0.0,1.0,0.0,2.489680177588948
2018-03-10 12:51:58,14.78,30.72,1.0,0.0,0.0,1.0,0.0,2.4784882193517346
2018-03-10 12:52:21,18.72,29.48,1.0,0.0,0.0,1.0,0.0,2.488747278481142
2018-03-10 12:52:44,22.7,30.47,1.0,0.0,0.0,1.0,0.0,2.435854696609512
2018-03-10 12:53:05,16.74,29.64,1.0,0.0,0.0,1.0,0.0,2.4898924116411223
2018-03-10 12:53:30,13.69,30.75,1.0,0.0,0.0,1.0,0.0,2.428065177921014
2018-03-10 12:54:01,21.03,30.52,1.0,0.0,0.0,1.0,0.0,2.4764592140136967
2018-03-10 12:54:32,24.08,28.94,1.0,0.0,0.0,1.0,0.0,2.4770062553805317
2018-03-10 12:55:03,23.08,29.06,1.0,0.0,0.0,1.0,0.0,2.489505244864854
2018-03-10 12:55:34,13.58,27.78,1.0,0.0,0.0,1.0,0.0,2.300984896454462
2018-03-10 12:56:01,14.77,30.36,1.0,0.0,0.0,1.0,0.0,2.4873701188043897
2018-03-10 12:56:40,13.52,30.45,1.0,0.0,0.0,1.0,0.0,2.4873701188043897
2018-03-10 12:57:09,16.76,28.53,1.0,0.0,0.0,1.0,0.0,2.271717311367355
2018-03-10 12:57:54,10.91,29.63,1.0,0.0,0.0,1.0,0.0,2.502950968425106
2018-03-10 12:58:13,15.06,30.66,1.0,0.0,0.0,1.0,0.0,2.5145460453645554
2018-03-10 12:58:37,11.56,30.23,1.0,0.0,0.0,1.0,0.0,2.5065151553845553
2018-03-10 12:59:05,11.53,30.82,1.0,0.0,0.0,1.0,0.0,2.5035153523490816
2018-03-10 12:59:58,11.61,29.03,1.0,0.0,0.0,1.0,0.0,2.3537543899032576
2018-03-10 13:00:19,18.79,29.12,1.0,0.0,0.0,1.0,0.0,2.5266649696633263
2018-03-10 13:00:40,12.13,28.02,1.0,0.0,0.0,1.0,0.0,2.2872623946788155
2018-03-10 13:01:24,25.35,30.02,1.0,0.0,0.0,1.0,0.0,2.5626845562159235
2018-03-10 13:01:39,19.11,27.31,1.0,0.0,0.0,1.0,0.0,2.5895486586904197
2018-03-10 13:02:00,12.15,28.28,1.0,0.0,0.0,1.0,0.0,2.2905058330929955
2018-03-10 13:02:45,23.29,29.36,1.0,0.0,0.0,1.0,0.0,2.5471719596928564
2018-03-10 13:03:29,22.62,28.66,1.0,0.0,0.0,1.0,0.0,2.5553587044378094
2018-03-10 13:03:52,19.46,26.86,1.0,0.0,0.0,1.0,0.0,2.6321140300512083
2018-03-10 13:04:02,23.68,29.71,1.0,0.0,0.0,1.0,0.0,2.608059917676314
2018-03-10 13:04:47,26.09,29.2,1.0,0.0,0.0,1.0,0.0,2.1471776287687407
2018-03-10 13:05:05,24.56,29.13,1.0,0.0,0.0,1.0,0.0,2.858196249338608
2018-03-10 13:05:59,21.35,26.72,1.0,0.0,0.0,1.0,0.0,3.0059241240232306
2018-03-10 13:06:19,24.94,29.56,1.0,0.0,0.0,1.0,0.0,3.0265238551154225
2018-03-10 13:06:30,27.5,30.41,1.0,0.0,0.0,1.0,0.0,1.7543832844586047
2018-03-10 13:07:03,22.91,27.12,1.0,0.0,0.0,1.0,0.0,3.0432819902412884
2018-03-10 13:07:45,25.79,30.32,1.0,0.0,0.0,1.0,0.0,3.5220500832160373
2018-03-10 13:08:13,14.59,33.32,1.0,0.0,0.0,1.0,0.0,7.2204814271885
2018-03-10 13:08:37,23.47,28.11,1.0,0.0,0.0,1.0,0.0,4.189202141760108
2018-03-10 13:09:06,27.42,30.6,1.0,0.0,0.0,1.0,0.0,4.189202141760108
2018-03-10 13:09:54,23.81,31.19,1.0,0.0,0.0,1.0,0.0,1.5696855563344994
2018-03-10 13:10:13,12.9,28.28,1.0,0.0,0.0,1.0,0.0,4.37169083307886
2018-03-10 13:10:44,14.13,28.03,1.0,0.0,0.0,1.0,0.0,4.389082655089779
2018-03-10 13:11:05,17.21,26.75,1.0,0.0,0.0,1.0,0.0,4.406991936534646
2018-03-10 13:11:42,14.17,34.24,1.0,0.0,0.0,1.0,0.0,7.734940705582633
2018-03-10 13:12:14,19.49,28.57,1.0,0.0,0.0,1.0,0.0,4.380174682573826
2018-03-10 13:12:44,22.04,26.24,1.0,0.0,0.0,1.0,0.0,4.379410062674985
2018-03-10 13:13:15,19.07,29.13,1.0,0.0,0.0,1.0,0.0,4.360099684008819
2018-03-10 13:13:47,17.5,28.95,1.0,0.0,0.0,1.0,0.0,4.345641550072273
2018-03-10 13:14:15,15.95,27.21,1.0,0.0,0.0,1.0,0.0,4.361108995311574
2018-03-10 13:14:51,18.48,28.86,1.0,0.0,0.0,1.0,0.0,4.297907194016371
2018-03-10 13:15:13,11.95,28.58,1.0,0.0,0.0,1.0,0.0,7.825068394105312
2018-03-10 13:15:32,15.77,27.13,1.0,0.0,0.0,1.0,0.0,4.3124583700195185
2018-03-10 13:16:06,8.76,33.44,1.0,0.0,0.0,1.0,0.0,0.6074205584906643
2018-03-10 13:16:30,16.14,28.0,1.0,0.0,0.0,1.0,0.0,4.228915517205594
2018-03-10 13:17:29,9.01,32.01,1.0,0.0,0.0,1.0,0.0,0.6196577169991022
2018-03-10 13:17:47,14.24,26.83,1.0,0.0,0.0,1.0,0.0,4.189604804307758
2018-03-10 13:18:02,15.99,25.43,1.0,0.0,0.0,1.0,0.0,8.229082078360735
2018-03-10 13:18:30,7.43,32.96,1.0,0.0,0.0,1.0,0.0,0.6104578933352918
