timestamp,day,month,year,time,partofday,is_RushHour,distance_to_airport,lon,lat,hum,tem
2018-03-10 08:40:11,10,3,2018,08:40:11,Morning,Rush hour,2.4352485138909366,130.42045900000002,33.588954,58.03,14.88
2018-03-10 08:40:17,10,3,2018,08:40:17,Morning,Rush hour,2.4352485138909366,130.42045900000002,33.588954,49.79,15.1
2018-03-10 08:40:30,10,3,2018,08:40:30,Morning,Rush hour,2.4352485138909366,130.42045900000002,33.588954,47.88,15.41
2018-03-10 08:40:49,10,3,2018,08:40:49,Morning,Rush hour,2.4352485138909366,130.42045900000002,33.588954,59.55,15.76
2018-03-10 12:35:26,10,3,2018,12:35:26,Afternoon,Not rush hour,2.435854696609512,130.420452,33.58896,28.52,26.67
2018-03-10 12:35:39,10,3,2018,12:35:39,Afternoon,Not rush hour,2.435854696609512,130.420452,33.58896,28.51,26.74
2018-03-10 12:35:52,10,3,2018,12:35:52,Afternoon,Not rush hour,2.435854696609512,130.420452,33.58896,28.55,26.81
2018-03-10 12:36:41,10,3,2018,12:36:41,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,30.27,25.75
2018-03-10 12:36:54,10,3,2018,12:36:54,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,30.12,25.83
2018-03-10 12:37:13,10,3,2018,12:37:13,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,28.63,25.89
2018-03-10 12:37:26,10,3,2018,12:37:26,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,29.8,26.04
2018-03-10 12:37:39,10,3,2018,12:37:39,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,28.93,26.13
2018-03-10 12:37:45,10,3,2018,12:37:45,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,31.24,26.16
2018-03-10 12:38:11,10,3,2018,12:38:11,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,29.83,26.33
2018-03-10 12:38:24,10,3,2018,12:38:24,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,28.28,26.37
2018-03-10 12:38:36,10,3,2018,12:38:36,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,27.44,26.35
2018-03-10 12:38:56,10,3,2018,12:38:56,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,27.81,26.5
2018-03-10 12:39:11,10,3,2018,12:39:11,Afternoon,Not rush hour,2.4385699817528184,130.420423,33.588955,28.93,28.08
2018-03-10 12:39:27,10,3,2018,12:39:27,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,27.93,26.71
2018-03-10 12:39:40,10,3,2018,12:39:40,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,29.87,26.76
2018-03-10 12:39:50,10,3,2018,12:39:50,Afternoon,Not rush hour,2.4385699817528184,130.420423,33.588955,28.16,28.36
2018-03-10 12:40:05,10,3,2018,12:40:05,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,28.16,26.88
2018-03-10 12:40:18,10,3,2018,12:40:18,Afternoon,Not rush hour,2.4479731063093513,130.420321,33.588959,27.74,26.92
2018-03-10 12:40:34,10,3,2018,12:40:34,Afternoon,Not rush hour,2.4385699817528184,130.420423,33.588955,27.96,28.68
2018-03-10 12:40:57,10,3,2018,12:40:57,Afternoon,Not rush hour,2.43767283389454,130.420433,33.588951,28.77,27.06
2018-03-10 12:41:10,10,3,2018,12:41:10,Afternoon,Not rush hour,2.437580381681337,130.420434,33.588951,26.74,28.38
2018-03-10 12:41:16,10,3,2018,12:41:16,Afternoon,Not rush hour,2.43767283389454,130.420433,33.588951,28.21,27.09
2018-03-10 12:41:32,10,3,2018,12:41:32,Afternoon,Not rush hour,2.4385699817528184,130.420423,33.588955,29.13,29.11
2018-03-10 12:41:46,10,3,2018,12:41:46,Afternoon,Not rush hour,2.4398955204658472,130.420408,33.588964000000004,23.9,28.97
2018-03-10 12:42:09,10,3,2018,12:42:09,Afternoon,Not rush hour,2.4381077149824675,130.42042800000002,33.588955,28.41,27.49
2018-03-10 12:42:29,10,3,2018,12:42:29,Afternoon,Not rush hour,2.4385699817528184,130.420423,33.588955,25.47,29.49
2018-03-10 12:42:32,10,3,2018,12:42:32,Afternoon,Not rush hour,2.437915975437635,130.42043,33.588956,37.5,27.58
2018-03-10 12:42:46,10,3,2018,12:42:46,Afternoon,Not rush hour,2.437922808368058,130.42043,33.588955,25.7,29.07
2018-03-10 12:43:10,10,3,2018,12:43:10,Afternoon,Not rush hour,2.437580381681337,130.420434,33.588951,24.12,28.62
2018-03-10 12:43:17,10,3,2018,12:43:17,Afternoon,Not rush hour,2.437915975437635,130.42043,33.588956,30.86,27.72
2018-03-10 12:43:39,10,3,2018,12:43:39,Afternoon,Not rush hour,2.4385699817528184,130.420423,33.588955,25.99,29.98
2018-03-10 12:43:59,10,3,2018,12:43:59,Afternoon,Not rush hour,2.438655604279454,130.420422,33.588956,30.88,25.09
2018-03-10 12:44:13,10,3,2018,12:44:13,Afternoon,Not rush hour,2.437580381681337,130.420434,33.588951,24.94,28.83
2018-03-10 12:44:19,10,3,2018,12:44:19,Afternoon,Not rush hour,2.437580381681337,130.420434,33.588951,23.99,28.85
2018-03-10 12:44:31,10,3,2018,12:44:31,Afternoon,Not rush hour,2.435854696609512,130.420452,33.58896,26.28,28.94
2018-03-10 12:44:57,10,3,2018,12:44:57,Afternoon,Not rush hour,2.437580381681337,130.420434,33.588951,24.3,28.99
2018-03-10 12:45:02,10,3,2018,12:45:02,Afternoon,Not rush hour,2.437915975437635,130.42043,33.588956,28.99,29.03
2018-03-10 12:45:16,10,3,2018,12:45:16,Afternoon,Not rush hour,2.438655604279454,130.420422,33.588956,29.74,25.54
2018-03-10 12:45:33,10,3,2018,12:45:33,Afternoon,Not rush hour,2.43866243514607,130.420422,33.588955,29.33,28.24
2018-03-10 12:45:50,10,3,2018,12:45:50,Afternoon,Not rush hour,2.437765286121071,130.420432,33.588951,25.9,28.6
2018-03-10 12:46:02,10,3,2018,12:46:02,Afternoon,Not rush hour,2.43866243514607,130.420422,33.588955,31.1,26.34
2018-03-10 12:46:26,10,3,2018,12:46:26,Afternoon,Not rush hour,2.438655604279454,130.420422,33.588956,30.0,25.92
2018-03-10 12:46:44,10,3,2018,12:46:44,Afternoon,Not rush hour,2.4385631506282945,130.420423,33.588956,25.87,28.5
2018-03-10 12:46:55,10,3,2018,12:46:55,Afternoon,Not rush hour,2.437915975437635,130.42043,33.588956,32.9,28.55
2018-03-10 12:47:09,10,3,2018,12:47:09,Afternoon,Not rush hour,2.437922808368058,130.42043,33.588955,23.35,30.26
2018-03-10 12:47:29,10,3,2018,12:47:29,Afternoon,Not rush hour,2.437915975437635,130.42043,33.588956,24.24,29.73
2018-03-10 12:47:38,10,3,2018,12:47:38,Afternoon,Not rush hour,2.439796282498486,130.420409,33.588965,23.02,30.14
2018-03-10 12:47:50,10,3,2018,12:47:50,Afternoon,Not rush hour,2.437580381681337,130.420434,33.588951,22.79,29.27
2018-03-10 12:48:13,10,3,2018,12:48:13,Afternoon,Not rush hour,2.437922808368058,130.42043,33.588955,22.36,30.3
2018-03-10 12:48:18,10,3,2018,12:48:18,Afternoon,Not rush hour,2.437765286121071,130.420432,33.588951,25.07,29.26
2018-03-10 12:48:42,10,3,2018,12:48:42,Afternoon,Not rush hour,2.4551329341770964,130.420244,33.588953000000004,21.78,29.79
2018-03-10 12:48:54,10,3,2018,12:48:54,Afternoon,Not rush hour,2.435854696609512,130.420452,33.58896,25.24,29.87
2018-03-10 12:49:12,10,3,2018,12:49:12,Afternoon,Not rush hour,2.4576464188397735,130.420187,33.589451000000004,25.44,28.87
2018-03-10 12:49:16,10,3,2018,12:49:16,Afternoon,Not rush hour,2.4587618560283544,130.420181,33.589329,25.08,29.41
