timestamp,hum,tem,part_of_day_Afternoon,part_of_day_Evening,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport,Temperature,Dew Point,Humidity,Wind Speed,Pressure
2018-03-10 08:40:11,58.03,14.88,0.0,0.0,1.0,0.0,1.0,2.4352485138909366,6.111111111111111,-2.2222222222222223,57,7,30.23
2018-03-10 08:40:17,49.79,15.1,0.0,0.0,1.0,0.0,1.0,2.4352485138909366,6.111111111111111,-2.2222222222222223,57,7,30.23
2018-03-10 08:40:24,52.34,15.17,0.0,0.0,1.0,0.0,1.0,2.4352485138909366,6.111111111111111,-2.2222222222222223,57,7,30.23
2018-03-10 08:40:30,47.88,15.41,0.0,0.0,1.0,0.0,1.0,2.4352485138909366,6.111111111111111,-2.2222222222222223,57,7,30.23
2018-03-10 08:40:37,53.0,15.5,0.0,0.0,1.0,0.0,1.0,2.4352485138909366,6.111111111111111,-2.2222222222222223,57,7,30.23
2018-03-10 08:40:43,59.93,15.6,0.0,0.0,1.0,0.0,1.0,2.4352485138909366,6.111111111111111,-2.2222222222222223,57,7,30.23
2018-03-10 08:40:49,59.55,15.76,0.0,0.0,1.0,0.0,1.0,2.4352485138909366,6.111111111111111,-2.2222222222222223,57,7,30.23
2018-03-10 12:35:26,28.52,26.67,1.0,0.0,0.0,1.0,0.0,2.435854696609512,10.0,0.0,50,10,30.17
2018-03-10 12:35:33,28.53,26.71,1.0,0.0,0.0,1.0,0.0,2.435854696609512,10.0,0.0,50,10,30.17
2018-03-10 12:35:39,28.51,26.74,1.0,0.0,0.0,1.0,0.0,2.435854696609512,10.0,0.0,50,10,30.17
2018-03-10 12:35:45,28.58,26.77,1.0,0.0,0.0,1.0,0.0,2.435854696609512,10.0,0.0,50,10,30.17
2018-03-10 12:35:52,28.55,26.81,1.0,0.0,0.0,1.0,0.0,2.435854696609512,10.0,0.0,50,10,30.17
2018-03-10 12:35:58,28.61,26.85,1.0,0.0,0.0,1.0,0.0,2.435854696609512,10.0,0.0,50,10,30.17
2018-03-10 12:36:34,30.05,25.68,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:36:41,30.27,25.75,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:36:47,32.29,25.79,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:36:54,30.12,25.83,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:00,30.9,25.88,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:06,29.2,25.88,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:11,30.41,25.04,1.0,0.0,0.0,1.0,0.0,2.43866243514607,10.0,0.0,50,10,30.17
2018-03-10 12:37:12,31.07,25.11,1.0,0.0,0.0,1.0,0.0,2.43866243514607,10.0,0.0,50,10,30.17
2018-03-10 12:37:13,28.63,25.89,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:19,29.88,25.98,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:26,29.8,26.04,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:32,29.54,26.08,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:39,28.93,26.13,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:45,31.24,26.16,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:51,30.24,26.21,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:37:58,29.6,26.25,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:38:04,30.02,26.29,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
2018-03-10 12:38:11,29.83,26.33,1.0,0.0,0.0,1.0,0.0,2.4479731063093513,10.0,0.0,50,10,30.17
