timestamp,hum,tem,part_of_day_Afternoon,part_of_day_Early Morning,part_of_day_Evening,part_of_day_Late Night,part_of_day_Morning,Not rush hour,Rush hour,distance_to_airport
2020-07-12 04:40:12,31.0,28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.69731007107408
2020-07-12 04:40:33,31.0,28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.693019400203209
2020-07-12 04:41:01,31.0,28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.688029587027787
2020-07-12 04:41:54,32.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.693253132601836
2020-07-12 04:42:19,31.0,28,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.680793000068128
2020-07-12 04:42:49,31.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.693801827838321
2020-07-12 04:43:02,31.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.682267881130242
2020-07-12 04:43:34,31.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.692164987193603
2020-07-12 04:44:17,31.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.690056217907712
2020-07-12 04:44:34,31.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.691538171407023
2020-07-12 04:45:17,31.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.694809802930386
2020-07-12 04:45:34,31.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.678872781417184
2020-07-12 04:46:20,31.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.700576323296909
2020-07-12 04:46:42,31.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.694965964587581
2020-07-12 04:47:04,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.694419739118095
2020-07-12 04:47:53,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.68764524367972
2020-07-12 04:48:17,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.689281399547314
2020-07-12 04:48:38,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.695667041590106
2020-07-12 04:49:09,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.695433722758013
2020-07-12 04:49:50,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.690913084844924
2020-07-12 04:50:25,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.6895883126323
2020-07-12 04:50:37,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.690445885170735
2020-07-12 04:51:27,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.687428911252164
2020-07-12 04:51:33,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.690606421188196
2020-07-12 04:52:14,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.686635261850268
2020-07-12 04:52:30,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.687484846621675
2020-07-12 04:53:14,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.697496492812279
2020-07-12 04:53:32,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.682185169602047
2020-07-12 04:54:02,30.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.684916788000155
2020-07-12 04:54:55,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.697311884369453
2020-07-12 04:55:07,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.698172519042789
2020-07-12 04:55:31,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.7003627233491
2020-07-12 04:56:19,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.695910192324403
2020-07-12 04:56:37,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.694966812066165
2020-07-12 04:57:16,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.68834568633148
2020-07-12 04:57:31,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.69005577141717
2020-07-12 04:58:25,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.693567971175298
2020-07-12 04:58:46,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.69302154320874
2020-07-12 04:59:27,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.691928517877134
2020-07-12 04:59:41,29.0,29,0.0,0.0,0.0,1.0,0.0,1.0,0.0,11.690367734726037
2020-07-12 05:00:04,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.689120587508546
2020-07-12 05:00:30,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.69099221967831
2020-07-12 05:01:01,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.692627572338427
2020-07-12 05:01:31,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.693562731896375
2020-07-12 05:02:03,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.696762181311943
2020-07-12 05:02:35,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.697002413401803
2020-07-12 05:03:01,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.693644047594917
2020-07-12 05:03:40,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.695049443939103
2020-07-12 05:04:11,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.689042692755542
2020-07-12 05:04:57,29.0,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.686635075919295
2020-07-12 05:05:15,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.691538000972464
2020-07-12 05:05:38,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.690293992381626
2020-07-12 05:06:06,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.689365104502537
2020-07-12 05:06:51,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.695516070140846
2020-07-12 05:07:11,29.0,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.701809462569312
2020-07-12 05:07:57,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.695294327459715
2020-07-12 05:08:09,28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.692241357671824
2020-07-12 05:08:30,28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.691771658564692
2020-07-12 05:09:15,29.0,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.692086013631705
2020-07-12 05:09:59,29.0,30,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.687175909216242
2020-07-12 05:10:24,28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.690523897595076
2020-07-12 05:10:32,28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.690368586297977
2020-07-12 05:11:14,28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.688504669607958
2020-07-12 05:11:34,28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.682297475140398
2020-07-12 05:12:24,28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.68709479696378
2020-07-12 05:12:44,28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.687020172682299
2020-07-12 05:13:00,28.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.69130648252854
2020-07-12 05:13:56,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.69449762603077
2020-07-12 05:14:24,29.0,29,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.692708678550296
